Date,Open(Q.FTAS),High(Q.FTAS),Low(Q.FTAS),Last(Q.FTAS)
22/09/2005,2695.17,2705.49,2688.92,2701.25
21/09/2005,2719.00,2719.00,2695.18,2695.18
20/09/2005,2724.44,2731.26,2716.89,2719.00
19/09/2005,2713.82,2726.78,2705.69,2724.41
16/09/2005,2701.90,2718.36,2697.85,2713.80
15/09/2005,2686.29,2703.21,2684.63,2701.90
14/09/2005,2681.03,2686.29,2676.61,2686.29
13/09/2005,2699.92,2700.93,2678.04,2681.03
12/09/2005,2690.84,2700.49,2690.84,2699.92
09/09/2005,2680.94,2691.29,2680.94,2690.83
08/09/2005,2693.49,2693.49,2680.50,2680.95
07/09/2005,2688.03,2695.16,2688.03,2693.48
06/09/2005,2679.02,2690.82,2679.02,2688.03
05/09/2005,2674.62,2680.39,2671.86,2679.00
02/09/2005,2675.39,2679.93,2671.05,2674.61
01/09/2005,2659.22,2681.04,2659.22,2675.40
31/08/2005,2640.58,2660.14,2640.58,2659.21
30/08/2005,2627.58,2646.60,2627.58,2640.58
26/08/2005,2638.10,2650.20,2627.58,2627.58
25/08/2005,2647.53,2647.53,2635.69,2638.10
24/08/2005,2658.12,2658.12,2645.23,2647.52
23/08/2005,2665.10,2665.10,2655.10,2658.13
22/08/2005,2661.32,2669.21,2661.32,2665.10
19/08/2005,2640.95,2661.32,2640.95,2661.32
18/08/2005,2652.53,2658.01,2640.20,2640.96
17/08/2005,2667.00,2667.00,2648.66,2652.54
16/08/2005,2676.76,2683.64,2664.60,2667.01
15/08/2005,2677.30,2686.56,2674.95,2676.74
12/08/2005,2682.24,2689.59,2676.16,2677.29
11/08/2005,2691.94,2692.13,2680.86,2682.23
10/08/2005,2684.51,2694.38,2679.06,2691.93
09/08/2005,2675.08,2684.49,2675.08,2684.49
08/08/2005,2662.74,2679.11,2662.74,2675.08
05/08/2005,2663.22,2674.13,2659.33,2662.74
04/08/2005,2669.72,2669.72,2656.58,2663.22
03/08/2005,2665.89,2669.72,2656.20,2669.72
02/08/2005,2649.14,2666.80,2649.14,2665.89
01/08/2005,2644.76,2653.14,2644.76,2649.12
29/07/2005,2638.08,2654.78,2638.08,2644.75
28/07/2005,2633.86,2642.90,2633.86,2638.06
27/07/2005,2627.63,2638.64,2627.63,2633.86
26/07/2005,2633.85,2637.21,2626.99,2627.62
25/07/2005,2621.32,2635.53,2621.32,2633.86
22/07/2005,2611.32,2622.24,2604.27,2621.31
21/07/2005,2607.40,2626.60,2593.38,2611.31
20/07/2005,2600.36,2620.92,2598.39,2607.40
19/07/2005,2607.04,2613.17,2595.99,2600.39
18/07/2005,2615.73,2628.27,2606.72,2607.07
15/07/2005,2629.60,2629.60,2612.32,2615.72
14/07/2005,2625.31,2640.04,2625.31,2629.59
13/07/2005,2612.73,2628.01,2612.73,2625.32
12/07/2005,2624.76,2626.68,2612.72,2612.74
11/07/2005,2617.64,2629.05,2617.64,2624.76
08/07/2005,2579.85,2617.63,2579.85,2617.63
07/07/2005,2615.66,2615.66,2515.55,2579.74
06/07/2005,2594.55,2618.53,2594.55,2615.66
05/07/2005,2593.37,2597.29,2588.05,2594.53
04/07/2005,2583.95,2594.98,2583.91,2593.34
01/07/2005,2560.13,2583.90,2556.95,2583.90
30/06/2005,2556.56,2570.00,2551.61,2560.17
29/06/2005,2547.85,2561.11,2547.85,2556.54
28/06/2005,2526.28,2547.86,2526.28,2547.86
27/06/2005,2544.31,2544.31,2525.15,2526.29
24/06/2005,2561.69,2561.69,2540.13,2544.34
23/06/2005,2553.42,2564.72,2553.42,2561.70
22/06/2005,2544.20,2557.39,2542.06,2553.43
21/06/2005,2541.41,2549.46,2540.85,2544.17
20/06/2005,2544.64,2544.76,2536.42,2541.38
17/06/2005,2528.95,2553.14,2528.95,2544.59
16/06/2005,2515.38,2529.13,2515.38,2529.00
15/06/2005,2528.09,2533.63,2513.46,2515.35
14/06/2005,2530.36,2531.75,2524.81,2528.10
13/06/2005,2519.77,2530.41,2519.77,2530.34
10/06/2005,2508.45,2526.66,2508.45,2519.73
09/06/2005,2506.46,2508.46,2497.76,2508.46
08/06/2005,2516.06,2516.06,2503.01,2506.46
