Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
25/04/2005,10158.52,10260.2,10158.52,10242.47
22/04/2005,10216.68,10219.34,10069.92,10157.71
21/04/2005,10010.51,10218.6,10010.51,10218.60
20/04/2005,10131.18,10186.45,10000.46,10012.36
19/04/2005,10071.55,10156.53,10071.55,10127.41
18/04/2005,10088.54,10105.39,10020.93,10071.25
15/04/2005,10276.61,10278.53,10076.57,10087.51
14/04/2005,10403.71,10417.89,10273.43,10278.75
13/04/2005,10507.45,10521.06,10379.7,10403.93
12/04/2005,10448.63,10529.77,10360.92,10507.97
11/04/2005,10462.08,10482.18,10438.44,10448.56
08/04/2005,10546.32,10553.56,10460.46,10461.34
07/04/2005,10485.88,10557.11,10476.71,10546.32
06/04/2005,10453.45,10526,10453.38,10486.02
05/04/2005,10421.14,10476.49,10419.44,10458.46
04/04/2005,10401.71,10444.28,10356.71,10421.14
01/04/2005,10504.57,10568.93,10381.02,10404.30
31/03/2005,10541.59,10542.04,10490.38,10503.76
30/03/2005,10405.77,10544.18,10404.81,10540.93
29/03/2005,10486.1,10520.84,10396.24,10405.70
28/03/2005,10444.13,10533.55,10439.99,10485.65
24/03/2005,10457.06,10518.63,10442.87,10442.87
23/03/2005,10470.58,10497.42,10430.53,10456.02
22/03/2005,10565.39,10609.95,10470.28,10470.51
21/03/2005,10629.9,10630.49,10534.06,10565.39
18/03/2005,10627.83,10653.69,10557.04,10629.67
17/03/2005,10633.3,10658.64,10598.34,10626.35
16/03/2005,10741.63,10741.63,10612.38,10633.07
15/03/2005,10804.29,10838.65,10745.1,10745.10
14/03/2005,10773.92,10805.47,10754.41,10804.51
11/03/2005,10845.3,10872.35,10758.55,10774.36
10/03/2005,10806.28,10875.52,10780.35,10851.51
09/03/2005,10912.32,10923.18,10802.06,10805.62
08/03/2005,10935.6,10952.45,10900.13,10912.62
07/03/2005,10940.55,10984.46,10931.46,10936.86
04/03/2005,10834.51,10962.42,10834.29,10940.55
03/03/2005,10812.27,10869.17,10767.19,10833.03
02/03/2005,10825.68,10869.83,10774.29,10811.97
01/03/2005,10769.04,10849.14,10769.04,10830.00
28/02/2005,10842.05,10842.05,10730.47,10766.23
25/02/2005,10748.42,10845.6,10735.77,10841.60
24/02/2005,10672.24,10755.74,10647.34,10748.79
23/02/2005,10609.28,10700.69,10608.98,10673.79
22/02/2005,10783.38,10783.45,10610.54,10611.20
18/02/2005,10755.15,10792.02,10730.32,10785.22
17/02/2005,10835.03,10841.16,10752.34,10754.26
16/02/2005,10832.03,10853.43,10794.16,10834.88
15/02/2005,10791.06,10852.39,10779.31,10837.32
14/02/2005,10795.72,10802.29,10773.18,10791.13
11/02/2005,10742.92,10829.19,10703.43,10796.01
10/02/2005,10665,10763.94,10664.33,10749.61
09/02/2005,10717.76,10741.55,10660.42,10664.11
08/02/2005,10712.51,10744.51,10695.96,10724.63
