Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
31/10/1926,148.78,151.87,148.78,150.38
24/10/1926,148.20,149.56,145.66,149.56
17/10/1926,149.35,152.10,146.85,146.85
10/10/1926,156.78,156.78,151.18,151.18
03/10/1926,158.42,159.69,157.71,159.64
26/09/1926,156.26,159.27,156.26,159.27
19/09/1926,158.97,160.57,156.74,157.86
12/09/1926,166.10,166.10,162.16,162.16
05/09/1926,161.83,163.93,161.83,163.75
29/08/1926,163.41,163.41,160.41,161.88
22/08/1926,166.10,166.10,162.06,162.78
15/08/1926,166.14,166.64,161.68,166.64
08/08/1926,161.84,165.21,161.84,165.21
01/08/1926,155.71,160.58,155.71,160.47
25/07/1926,158.94,158.94,154.59,154.59
18/07/1926,155.58,158.81,155.58,158.81
11/07/1926,154.37,155.66,153.74,155.06
04/07/1926,151.08,154.15,151.08,154.15
27/06/1926,154.03,154.03,150.68,150.68
20/06/1926,150.13,153.44,149.37,153.33
13/06/1926,145.56,148.61,145.40,148.61
06/06/1926,142.30,145.36,142.30,145.36
30/05/1926,141.16,143.43,141.16,143.43
23/05/1926,137.97,140.41,137.16,140.41
16/05/1926,138.87,139.78,138.02,138.02
09/05/1926,140.53,142.13,140.10,140.23
02/05/1926,142.93,144.55,142.93,143.40
25/04/1926,136.91,144.83,136.91,144.83
18/04/1926,136.53,138.90,136.27,136.83
11/04/1926,141.08,142.43,139.93,139.93
04/04/1926,135.49,140.46,135.20,140.39
28/03/1926,146.32,146.32,139.02,139.02
21/03/1926,150.65,150.65,144.80,144.80
14/03/1926,150.10,153.13,150.07,150.07
07/03/1926,150.90,150.90,144.44,149.86
28/02/1926,158.83,158.83,154.45,154.45
21/02/1926,158.30,161.09,158.30,160.93
14/02/1926,159.10,162.31,159.10,162.08
07/02/1926,156.83,160.53,156.83,159.99
31/01/1926,155.28,157.44,154.63,157.44
24/01/1926,155.98,155.98,153.20,155.16
17/01/1926,157.58,158.31,155.10,155.23
10/01/1926,158.75,159.10,157.60,159.10
03/01/1926,156.87,158.54,155.81,158.54
27/12/1925,152.35,157.01,152.35,157.01
20/12/1925,154.70,154.70,152.67,153.21
13/12/1925,154.21,154.65,152.57,154.65
06/12/1925,151.08,154.63,151.08,154.63
29/11/1925,148.60,152.70,148.18,151.78
22/11/1925,153.11,153.48,150.35,151.08
15/11/1925,157.43,157.76,151.60,156.36
08/11/1925,157.88,159.39,157.67,158.48
01/11/1925,153.60,156.52,152.92,156.52
25/10/1925,148.53,153.47,148.53,153.47
18/10/1925,147.40,149.56,147.40,147.89
11/10/1925,146.81,147.43,145.11,147.43
04/10/1925,144.15,146.65,143.46,146.65
27/09/1925,146.11,146.11,143.98,144.26
20/09/1925,146.63,147.73,143.89,147.73
13/09/1925,140.86,145.95,140.86,145.95
06/09/1925,141.18,141.30,137.22,141.30
30/08/1925,142.76,143.18,141.13,141.26
23/08/1925,141.56,142.87,141.56,142.87
16/08/1925,137.41,140.20,137.41,140.20
09/08/1925,135.81,137.98,135.71,137.98
02/08/1925,136.50,136.50,133.81,134.55
26/07/1925,135.00,135.63,133.87,135.63
19/07/1925,131.71,134.68,131.71,134.68
12/07/1925,132.31,133.07,131.33,131.43
05/07/1925,129.23,131.76,129.23,131.52
28/06/1925,128.25,129.73,127.17,129.73
21/06/1925,128.43,129.80,128.43,129.16
14/06/1925,127.12,129.38,126.75,129.38
07/06/1925,129.69,130.42,128.85,128.85
31/05/1925,127.78,129.95,127.78,129.95
24/05/1925,127.09,128.95,127.09,128.85
17/05/1925,124.14,126.50,124.14,126.50
10/05/1925,122.86,125.16,122.86,124.64
03/05/1925,119.46,121.96,119.46,121.96
26/04/1925,121.23,121.23,119.53,119.75
19/04/1925,120.18,122.02,120.18,122.02
12/04/1925,119.43,119.43,118.78,119.33
05/04/1925,115.00,118.25,115.00,118.25
29/03/1925,116.82,118.71,116.30,116.30
22/03/1925,120.76,120.91,118.25,119.60
15/03/1925,124.33,124.60,122.62,124.16
08/03/1925,123.93,125.68,123.26,124.98
01/03/1925,121.48,122.86,121.48,122.71
22/02/1925,117.96,121.85,117.96,121.85
15/02/1925,122.37,122.37,120.86,120.86
08/02/1925,120.46,121.50,120.08,121.50
01/02/1925,121.90,123.49,121.53,123.22
25/01/1925,122.35,123.60,121.74,122.98
18/01/1925,123.21,123.56,121.38,123.13
11/01/1925,119.46,122.32,119.46,122.16
04/01/1925,118.63,122.20,118.02,122.20
28/12/1924,116.84,119.18,115.78,119.18
21/12/1924,113.40,116.41,113.40,116.41
14/12/1924,111.30,112.76,110.84,112.76
07/12/1924,110.44,111.56,110.44,111.10
30/11/1924,109.81,111.38,109.81,111.38
23/11/1924,109.51,110.73,109.51,109.55
16/11/1924,105.91,108.96,105.91,108.68
09/11/1924,103.89,105.53,103.89,105.53
02/11/1924,101.73,104.17,101.73,104.17
26/10/1924,101.14,102.53,101.14,102.04
19/10/1924,99.18,101.76,99.18,101.76
12/10/1924,102.58,102.60,101.33,101.33
05/10/1924,102.96,104.08,102.64,102.85
28/09/1924,103.25,104.68,103.25,103.93
21/09/1924,101.38,103.85,101.38,103.85
14/09/1924,101.26,101.98,101.13,101.97
07/09/1924,104.95,104.95,100.76,100.76
31/08/1924,103.53,105.16,102.67,105.16
24/08/1924,104.99,105.57,103.51,103.51
17/08/1924,102.20,104.62,101.51,104.62
10/08/1924,103.28,103.28,101.79,102.08
03/08/1924,101.09,102.89,100.87,102.89
27/07/1924,99.02,100.36,99.02,100.36
20/07/1924,97.50,98.09,96.85,98.09
13/07/1924,96.91,97.60,96.65,97.60
06/07/1924,96.37,96.48,96.37,96.43
29/06/1924,92.65,95.55,92.65,95.55
22/06/1924,93.80,93.80,93.48,93.53
15/06/1924,90.15,92.85,90.15,92.85
08/06/1924,90.15,91.23,89.18,89.52
01/06/1924,90.60,90.60,89.90,89.90
25/05/1924,89.81,90.66,88.33,90.66
18/05/1924,89.48,89.78,88.77,89.33
11/05/1924,92.23,92.47,90.55,90.55
04/05/1924,90.99,92.12,90.63,91.93
27/04/1924,89.18,92.02,89.18,92.02
20/04/1924,89.91,91.34,89.91,91.13
13/04/1924,93.03,93.03,90.78,90.78
