sep=,
"Date","Open(Q.DJI)","High(Q.DJI)","Low(Q.DJI)","Last(Q.DJI)"
"30/06/1986","1,818.37","1,903.54","1,718.15","1,892.72"
"31/03/1986","1,546.67","1,841.24","1,497.71","1,818.61"
"31/12/1985","1,327.61","1,563.76","1,319.89","1,546.67"
"30/09/1985","1,335.34","1,367.61","1,289.31","1,328.63"
"30/06/1985","1,267.01","1,336.13","1,240.72","1,335.46"
"31/03/1985","1,210.14","1,305.87","1,180.99","1,266.78"
"31/12/1984","1,206.71","1,244.15","1,157.46","1,211.57"
"30/09/1984","1,132.18","1,248.01","1,082.16","1,206.71"
"30/06/1984","1,165.2","1,188.23","1,082.05","1,132.4"
"31/03/1984","1,257.72","1,291.87","1,117.88","1,164.89"
"31/12/1983","1,232.42","1,291.67","1,213.21","1,258.64"
"30/09/1983","1,221.35","1,264.74","1,156.45","1,233.13"
"30/06/1983","1,129.84","1,251.2","1,104.68","1,221.96"
"31/03/1983","1,048.92","1,152.09","1,020.23","1,130.03"
"31/12/1982","896.25","1,074.32","892.02","1,046.54"
"30/09/1982","811.94","951.16","769.98","896.25"
"30/06/1982","822.77","876.52","784.25","811.93"
"31/03/1982","875","887.38","786.16","822.77"
"31/12/1981","849.98","898.5","823.63","875"
"30/09/1981","976.88","978.98","807.45","849.98"
"30/06/1981","1,003.87","1,030.98","956.69","976.88"
"31/03/1981","963.98","1,021.81","923.89","1,003.87"
"31/12/1980","932.42","1,009.39","895.45","963.99"
"30/09/1980","867.92","980.72","862.63","932.42"
"30/06/1980","785.75","896.33","751.37","867.92"
"31/03/1980","838.74","918.17","729.95","785.75"
"31/12/1979","877.73","904.86","792.24","838.74"
"30/09/1979","840.61","902.13","818","878.58"
"30/06/1979","859.93","884.62","815.14","841.98"
"31/03/1979","805.96","876.99","798.51","862.18"
"31/12/1978","865.82","909.39","779.11","805.01"
"30/09/1978","818.95","917.27","800.94","865.82"
"30/06/1978","756.67","879.33","747.05","818.95"
"31/03/1978","830.39","835.15","736.75","757.36"
"31/12/1977","847.11","855.77","792.79","831.17"
"30/09/1977","916.3","927.84","830.3","847.11"
"30/06/1977","919.55","956.07","892.55","916.3"
"31/03/1977","1,004.65","1,007.81","914.15","919.13"
"31/12/1976","979.89","1,004.65","924.04","1,004.65"
"30/09/1976","994.84","1,014.79","960.44","990.19"
"30/06/1976","994.1","1,011.02","958.09","1,002.78"
"31/03/1976","858.71","1,009.21","858.71","999.45"
"31/12/1975","784.16","860.67","784.16","852.41"
"30/09/1975","877.42","881.81","791.69","793.88"
"30/06/1975","761.58","878.99","742.88","878.99"
"31/03/1975","632.04","786.53","632.04","768.15"
"31/12/1974","604.82","674.75","577.6","616.24"
"30/09/1974","806.24","806.24","607.87","607.87"
"30/06/1974","843.48","869.92","795.37","802.41"
"31/03/1974","855.32","891.66","803.9","846.68"
"31/12/1973","948.83","987.06","788.31","850.86"
"30/09/1973","880.57","953.27","851.9","947.1"
"30/06/1973","936.18","967.41","869.13","891.71"
"31/03/1973","1,031.68","1,051.7","922.71","951.01"
"31/12/1972","953.27","1,036.27","921.66","1,020.02"
"30/09/1972","928.66","973.51","910.45","953.27"
"30/06/1972","940.92","971.25","925.12","929.03"
"31/03/1972","889.3","950.18","889.15","940.7"
"31/12/1971","893.98","901.8","797.97","890.2"
"30/09/1971","893.03","920.93","839.59","887.19"
"30/06/1971","903.88","950.82","873.1","891.14"
"31/03/1971","830.57","916.83","830.57","904.37"
"31/12/1970","760.68","842","753.56","838.92"
"30/09/1970","687.64","773.14","669.36","760.68"
"30/06/1970","792.04","792.5","631.16","683.53"
"31/03/1970","809.2","811.31","744.06","785.57"
"31/12/1969","806.89","863.05","769.93","800.36"
"30/09/1969","875.9","886.12","801.96","813.09"
"30/06/1969","933.08","968.85","869.76","873.19"
"31/03/1969","947.73","952.7","899.8","935.48"
"31/12/1968","942.32","985.21","942.32","943.75"
"30/09/1968","896.35","938.28","869.65","935.79"
"30/06/1968","861.25","919.9","861.25","897.8"
"31/03/1968","906.84","908.92","825.13","840.67"
"31/12/1967","921","933.31","849.57","905.11"
"30/09/1967","859.69","943.08","859.69","926.66"
"30/06/1967","859.97","909.63","842.43","860.26"
"31/03/1967","786.41","876.67","786.41","865.98"
"31/12/1966","757.96","820.87","744.32","785.69"
"30/09/1966","877.06","894.04","767.03","774.22"
"30/06/1966","931.29","954.73","864.14","870.1"
"31/03/1966","968.54","995.15","911.08","924.77"
"31/12/1965","929.65","969.26","929.65","969.26"
"30/09/1965","871.59","937.88","861.77","930.58"
"30/06/1965","890.33","939.62","840.59","868.03"
"31/03/1965","869.78","906.3","869.78","889.05"
"31/12/1964","872","891.71","857.45","874.13"
"30/09/1964","838.06","875.74","823.4","875.37"
"30/06/1964","816.08","831.5","800.31","831.5"
"31/03/1964","766.08","820.25","766.08","813.29"
"31/12/1963","738.33","767.21","711.49","762.95"
"30/09/1963","701.35","745.96","687.71","732.79"
"30/06/1963","685.86","726.96","684.27","706.88"
"31/03/1963","646.79","688.96","646.79","682.52"
"31/12/1962","571.95","653.99","558.06","652.1"
"30/09/1962","573.75","616","571.24","578.98"
"30/06/1962","705.42","705.42","535.76","561.28"
"31/03/1962","724.71","726.01","689.92","706.95"
"31/12/1961","699.83","734.91","697.24","731.14"
"30/09/1961","689.81","726.53","679.3","701.21"
"30/06/1961","677.59","705.96","672.66","683.96"
"31/03/1961","610.25","679.38","610.25","676.63"
"31/12/1960","577.81","617.78","566.05","615.89"
"30/09/1960","641.3","646.91","569.08","580.14"
"30/06/1960","615.98","656.42","599.61","640.62"
"31/03/1960","679.06","685.47","599.1","616.59"
"31/12/1959","633.6","679.36","625.59","679.36"
"30/09/1959","650.88","678.1","616.45","631.68"
"30/06/1959","602.94","643.79","602.94","643.6"
"31/03/1959","587.59","614.69","574.46","601.71"
"31/12/1958","530.94","583.65","530.94","583.65"
"30/09/1958","478.82","532.09","476.89","532.09"
"30/06/1958","445.47","478.97","440.09","478.18"
"31/03/1958","439.27","458.65","436.89","446.76"
"31/12/1957","460.8","465.82","419.79","435.69"
"30/09/1957","503.29","520.77","456.3","456.3"
"30/06/1957","474.98","513.19","474.98","503.29"
"31/03/1957","496.03","499.2","454.82","474.81"
"31/12/1956","468.7","499.47","466.1","499.47"
"30/09/1956","491.92","520.95","475.25","475.25"
"30/06/1956","515.1","521.05","468.81","492.78"
"31/03/1956","485.78","513.03","462.35","511.79"
"31/12/1955","455.7","488.4","438.59","488.4"
"30/09/1955","453.82","487.45","448.84","466.62"
